elapsed_sec,step,jet_velocity_mean,jet_velocity_max,enstrophy,enstrophy_drift,tau_im_min,rho_mean,wec_margin,div_u,speedup_vs_wrf,simulated_days,spot_l4_cost_usd,spot_tpu_cost_usd,ondemand_cost_usd,hpc_cluster_cost_usd,residual_norm
194.5,43059,1.8311119849653505,2.232074122964838,0.6887747060192186,0.39647342298425525,0.9405334613434616,0.9459616874549774,1.0702779823025024,0.05977834606968483,1520.0,1076.475,0.010805318620469836,0.019449573516845703,0.03781861517164442,0.9994919723934598,0.33700252953661697
195.5,43330,1.8211200937863283,2.2186533656487106,0.6875442020223039,0.39755163021046747,0.9405582048392964,0.9459394746908529,1.0888751710439637,0.05976866358116837,1520.0,1083.25,0.01086104142665863,0.019549874567985532,0.0380136449933052,1.0046463319659233,0.3379190056788973
196.5,43616,1.8106957766066278,2.204663696486885,0.6862544838460525,0.39868172280740194,0.9405841719158158,0.9459161646176962,1.1049276615063663,0.059758448562803886,1520.0,1090.4,0.010916742324829101,0.01965013618469238,0.038208598136901854,1.009798665046692,0.3388795843862916
197.5,43877,1.8012889560368932,2.1920499859957165,0.6850853676494657,0.39970614006618554,0.9406077397716825,0.9458950092698388,1.104688508901989,0.05974912951234774,1520.0,1096.925,0.01097243947452969,0.01975039105415344,0.038403538160853914,1.0149506513939963,0.3397503390562577
198.51,44152,1.7914854288971065,2.1789149003928667,0.6838615501818435,0.4007784883401152,0.9406324397247008,0.9458728387300315,1.0830343160169629,0.05973931373350197,1520.0,1103.8,0.011028207686212328,0.01985077383518219,0.038598726901743145,1.0201092109746404,0.3406618350890979
199.51,44427,1.7817907575128933,2.16593629356668,0.6826458425088264,0.401843730550864,0.9406570056324413,0.9458507895426903,1.067782379999955,0.05972950117926274,1520.0,1110.675,0.011083850516213313,0.01995093092918396,0.03879347680674659,1.0252561727497314,0.34156729096823435
200.51,44700,1.7722724623023294,2.153204109610154,0.6814468897142545,0.4028942915975864,0.9406812617569801,0.945829019413842,1.0603589360319408,0.05971976317700103,1520.0,1117.5,0.011139615721172757,0.02005130829811096,0.038988655024104646,1.0304144542084799,0.3424602678579484
201.51,44972,1.7628921978373953,2.140666566067022,0.6802600646882181,0.40393422590298517,0.9407053005264256,0.9458074453553942,1.0628019112123677,0.05971006400241148,1520.0,1124.3,0.011195175025198196,0.02015131504535675,0.03918311258819368,1.035553689830833,0.3433442120175374
202.51,45245,1.7535792889850539,2.1282288889826733,0.679076536978787,0.40497127099339575,0.9407293000964,0.9457859074622234,1.0747584068821618,0.05970033233648637,1520.0,1131.125,0.011250788595941332,0.020251419472694397,0.03937776008579466,1.0406979451245733,0.3442257003443864
203.51,45504,1.7448367636068758,2.1165619133000924,0.6779607043183354,0.40594899950200614,0.9407519520250559,0.9457655798832489,1.1029230732747817,0.059691102662230544,1520.0,1137.6,0.011306374324692621,0.020351473784446714,0.03957231013642416,1.0458396250340674,0.3450567695767052
204.52,45795,1.7351201090536625,2.1036051253769004,0.6767150315887666,0.4070404980602264,0.940777268333448,0.94574286235803,1.117456235007046,0.05968073604602103,1520.0,1144.875,0.011361959947480097,0.020451527905464173,0.03976685981618033,1.0509812951419089,0.34598454335119244
205.52,46051,1.7266634130640264,2.0923371738974392,0.6756261098425124,0.4079946463592443,0.9407994234461856,0.945722982422067,1.090088627854222,0.05967161925041622,1520.0,1151.275,0.011417621983422173,0.020551719570159912,0.0399616769419776,1.056130033466551,0.34679556940535766
206.52,46303,1.7184209967193715,2.0813625659543677,0.6745604535520398,0.40892840871672304,0.9408211271869805,0.9457035083182874,1.0651645564266938,0.059662647624745956,1520.0,1157.575,0.01147326397895813,0.020651875162124633,0.040156423926353456,1.061276918053627,0.3475892674092146
207.52,46561,1.7100654975387377,2.070245293057578,0.6734757696516054,0.4098788436787685,0.9408432406262038,0.9456836674321455,1.0603845196074528,0.05965346518339199,1520.0,1164.025,0.011528990454143948,0.020752182817459105,0.040351466589503816,1.0664316170083152,0.3483971371269532
208.52,46848,1.7008681435571908,2.058017117929281,0.6722766092347834,0.41092958665079216,0.9408677137235235,0.9456617103588052,1.0644564032269361,0.05964325392746668,1520.0,1171.2,0.01158463129732344,0.02085233633518219,0.04054620954063203,1.071578395002418,0.3492902686531733
209.53,47114,1.6924338618828312,2.046811972906091,0.671172102167354,0.411897391310095,0.9408902788757237,0.9456414659854319,1.081483742001088,0.05963379295763124,1520.0,1177.85,0.011640313929981655,0.020952565073966978,0.04074109875493579,1.076729038523303,0.35011290261358075
210.53,47352,1.6849597487515828,2.036889242589157,0.6701894216463347,0.41275844762643177,0.9409103741135987,0.9456234382328523,1.1165343421744849,0.059625330423214475,1520.0,1183.8,0.011695871922704909,0.021052569460868836,0.04093555172946718,1.081868152850204,0.35084480048246697
211.53,47648,1.6757580894917439,2.024681799055692,0.6689744997483568,0.4138230013157881,0.9409352430681568,0.9456011288590332,1.1050375638114245,0.05961480894100515,1520.0,1191.2,0.011751450578371684,0.02115261104106903,0.04113007702430089,1.0870091784993807,0.35174967111841987
212.53,47950,1.666475461780322,2.012376794216957,0.6677431065029182,0.41490198773019205,0.9409604765663977,0.9455784935407453,1.0977894486324322,0.059604078011725674,1520.0,1198.75,0.011807063049740262,0.02125271348953247,0.04132472067409091,1.0921533321009742,0.3526668095706632
213.53,48218,1.6583257166475927,2.001581707526396,0.6666571492353843,0.4158535384574945,0.9409827524390999,0.945558512218069,1.074757941520631,0.059594558435109204,1520.0,1205.45,0.011862879329257543,0.021353182792663575,0.04152007765240139,1.0973163379563227,0.3534756276888703
214.53,48502,1.649778092925458,1.9902678201091344,0.6655132437077431,0.4168558653163258,0.9410062396553224,0.945537445245142,1.064959451170784,0.059584473843540306,1520.0,1212.55,0.011918507549497817,0.02145331358909607,0.04171477642324235,1.102461948328548,0.35432760551887693
215.53,48803,1.6408168248511674,1.9784154791616875,0.6643084925726832,0.4179115070556992,0.9410310010325881,0.9455152364270498,1.0622311740644899,0.05957378932177082,1520.0,1220.075,0.011974145279990302,0.021553461503982543,0.04190950847996605,1.107608438399103,0.3552249009973443
216.54,49096,1.632189018686546,1.9670129573954693,0.663143194562342,0.41893257869674294,0.9410549754708929,0.9454937344225585,1.0598584579978647,0.0595633924537871,1520.0,1227.4,0.012029814812872144,0.021653666663169858,0.042104351845052505,1.1127578701906733,0.35609281189223146
217.54,49379,1.6239434751961492,1.9561236943460132,0.6620245321497479,0.419912786725303,0.9410780123012393,0.9454730742567763,1.0611725440210455,0.05955335387240645,1520.0,1234.475,0.012085507300164965,0.021753913140296937,0.04229927555057737,1.1179094252652593,0.35692598871650755
218.54,49617,1.6170748455008206,1.9470588401590025,0.6610889026669226,0.4207326154068586,0.9410972961293735,0.9454557805998132,1.0863594953967648,0.05954491415094257,1520.0,1240.425,0.012141256093978883,0.021854260969161987,0.042494396328926085,1.1230661886930466,0.35762284309582976
219.54,49889,1.6092975083094052,1.936801340975121,0.6600253045911529,0.4216645742903369,0.941119235179875,0.9454361065222379,1.1107482752066768,0.059535271683616914,1520.0,1247.225,0.012196899427307978,0.021954418969154357,0.042689147995577915,1.1282131970259879,0.35841500814678634
220.55,50143,1.6021037245465128,1.9273197556465678,0.6590375078223446,0.4225301136277374,0.9411396273279737,0.9454178203824971,1.0941640355140896,0.05952627014008886,1520.0,1253.575,0.012252596325344511,0.022054673385620116,0.042884087138705784,1.1333651600943673,0.3591507165835768
221.55,50421,1.594305344947292,1.9170481123412884,0.6579622948648678,0.4234722498445846,0.941161842085744,0.9453979006715408,1.0761544659104518,0.05951642117645666,1520.0,1260.525,0.012308164490593805,0.022154696083068845,0.04307857571707831,1.1385052153799269,0.3599515323678969
222.55,50713,1.5861975354083713,1.9063764315372527,0.6568395085530594,0.42445607136643204,0.9411850594510431,0.9453770828342318,1.0681509297017546,0.059506079730703196,1520.0,1267.825,0.012363846593432957,0.02225492386817932,0.043273463077015344,1.1436558098925484,0.3607877806614672
223.55,51016,1.5778731033566769,1.8954276257932574,0.6556814480476353,0.42547080127260867,0.9412090269647397,0.9453555933416262,1.0649467073174974,0.05949535250869479,1520.0,1275.4,0.012419441964891222,0.022354995536804197,0.043468046877119276,1.148798381752438,0.36165030108171736
224.55,51290,1.5704220694350823,1.8856344514989747,0.6546402987895841,0.42638308977911576,0.9412305925179202,0.9453362583065453,1.0594851502254121,0.05948565531403788,1520.0,1282.25,0.01247515748606788,0.02245528347492218,0.04366305120123757,1.1539520674612787,0.3624257463122484
225.55,51577,1.56269440151355,1.8754845678611367,0.6535558531987617,0.4273333159266052,0.9412530723420388,0.9453161044078924,1.0611396327026128,0.059475501422559585,1520.0,1289.425,0.012530734062194824,0.02255532131195068,0.04385756921768188,1.159092900753021,0.36323343853761436
226.56,51848,1.5554686899024655,1.8660003258863254,0.6525375197618537,0.4282256124759222,0.9412741976388943,0.9452971656730482,1.0721188338168652,0.059465916783118154,1520.0,1296.2,0.01258650479051802,0.02265570862293243,0.044052766766813065,1.1642516931229168,0.36399189060453385
227.56,52122,1.5482322176539405,1.8565081185845842,0.6515134248928102,0.4291229573776033,0.9412954577303005,0.9452781068640824,1.0905801136216893,0.05945622918081362,1520.0,1303.05,0.012642204125722251,0.02275596742630005,0.044247714440027876,1.1694038816293082,0.3647546337709628
228.56,52424,1.5403357000506457,1.8461571615621217,0.6503910131270336,0.4301064507101567,0.9413187761166175,0.9452572037638513,1.097378887250135,0.059445555260624665,1520.0,1310.6,0.012697856744130454,0.022856142139434814,0.044442498604456586,1.174551748832067,0.36559060310363317
229.56,52671,1.533938335190745,1.8377767302568269,0.6494778889644444,0.4309065595054156,0.9413377595427408,0.9452401872995057,1.1024976769838162,0.05943682811496913,1520.0,1316.775,0.012753568477100796,0.022956423258781434,0.04463748966985279,1.1797050841318237,0.36627069557960323
230.57,52949,1.5268028234638953,1.8284350490402548,0.6484553411935099,0.4318025487899146,0.9413590314364946,0.9452211202166287,1.082600629847771,0.0594270087240632,1520.0,1323.725,0.01280927179919349,0.02305668923854828,0.04483245129717721,1.1848576414253977,0.3670322864714274
